Iter,CatBoost,kNN,SVM (RBF),Gaussian Process,Decision Tree,Random Forest,Neural Net,AdaBoost,Naive Bayes,QDA,XGB
0,0.8750000000000001,0.75,0.7777777777777778,0.8235294117647058,0.7777777777777778,0.8235294117647058,0.7777777777777778,0.5333333333333333,0.7777777777777778,0.8235294117647058,0.75
1,0.7999999999999999,0.5714285714285714,0.6250000000000001,0.6250000000000001,0.6666666666666666,0.75,0.6153846153846153,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8750000000000001
2,0.8235294117647058,0.7142857142857143,0.75,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.8571428571428571,0.6666666666666666,0.7692307692307692,0.5,0.8571428571428571
3,0.6250000000000001,0.6666666666666666,0.6666666666666666,0.75,0.6250000000000001,0.7058823529411764,0.6666666666666666,0.6250000000000001,0.6250000000000001,0.7058823529411764,0.75
4,0.7142857142857143,0.6153846153846153,0.7777777777777778,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.9333333333333333,0.7692307692307692,0.7272727272727273,0.5714285714285714,0.7142857142857143
5,0.7999999999999999,0.75,0.75,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.75,0.6666666666666665,0.7999999999999999
6,0.7777777777777778,0.7058823529411764,0.7777777777777778,0.7058823529411764,0.7368421052631579,0.7777777777777778,0.7368421052631579,0.6666666666666665,0.7368421052631579,0.7368421052631579,0.7777777777777778
7,0.8235294117647058,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7058823529411764,0.8235294117647058,0.8235294117647058,0.75,0.75,0.8235294117647058,0.8235294117647058
8,0.8571428571428571,0.7692307692307692,0.6666666666666666,0.5454545454545454,0.6153846153846153,0.7999999999999999,0.6666666666666666,0.6153846153846153,0.5,0.7058823529411764,0.7999999999999999
9,0.7142857142857143,0.6153846153846153,0.7999999999999999,0.75,0.7142857142857143,0.7142857142857143,0.7692307692307692,0.6153846153846153,0.7272727272727273,0.7142857142857143,0.7142857142857143
10,0.6250000000000001,0.7058823529411764,0.7777777777777778,0.6250000000000001,0.5333333333333333,0.6666666666666666,0.7058823529411764,0.6666666666666666,0.6250000000000001,0.588235294117647,0.6666666666666666
11,0.6666666666666666,0.6153846153846153,0.8235294117647058,0.7272727272727273,0.6153846153846153,0.7692307692307692,0.8235294117647058,0.7142857142857143,0.6153846153846153,0.8235294117647058,0.6153846153846153
12,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.6153846153846153,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.5,0.6250000000000001,0.5714285714285714
13,0.6153846153846153,0.5454545454545454,0.7142857142857143,0.6153846153846153,0.6153846153846153,0.5714285714285714,0.7142857142857143,0.4615384615384615,0.42857142857142855,0.5714285714285714,0.6250000000000001
14,0.36363636363636365,0.5,0.6153846153846153,0.5,0.3333333333333333,0.4615384615384615,0.5454545454545454,0.3333333333333333,0.5454545454545454,0.4615384615384615,0.3333333333333333
15,0.7142857142857143,0.5,0.7142857142857143,0.6153846153846153,0.6153846153846153,0.7142857142857143,0.8571428571428571,0.4615384615384615,0.5454545454545454,0.8235294117647058,0.6666666666666666
16,0.75,0.7692307692307692,0.75,0.6666666666666666,0.8235294117647058,0.7142857142857143,0.6666666666666666,0.6153846153846153,0.6153846153846153,0.6666666666666666,0.75
17,0.6666666666666666,0.6153846153846153,0.6153846153846153,0.6153846153846153,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6153846153846153,0.6666666666666666,0.7058823529411764,0.6666666666666666
18,0.7999999999999999,0.7142857142857143,0.8235294117647058,0.6666666666666666,0.42857142857142855,0.8235294117647058,0.7999999999999999,0.7142857142857143,0.7999999999999999,0.6153846153846153,0.4
19,0.7999999999999999,0.6666666666666666,0.75,0.6666666666666666,0.6153846153846153,0.7999999999999999,0.7142857142857143,0.7999999999999999,0.7142857142857143,0.7058823529411764,0.7142857142857143
20,0.7777777777777778,0.588235294117647,0.6666666666666665,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7368421052631579,0.7777777777777778,0.6666666666666665,0.7777777777777778,0.7777777777777778
21,0.7777777777777778,0.7999999999999999,0.7777777777777778,0.8235294117647058,0.7777777777777778,0.8235294117647058,0.7058823529411764,0.7058823529411764,0.6250000000000001,0.8235294117647058,0.7142857142857143
22,0.7058823529411764,0.8333333333333333,0.8235294117647058,0.8235294117647058,0.6250000000000001,0.6666666666666665,0.8235294117647058,0.7368421052631579,0.75,0.7368421052631579,0.7777777777777778
23,0.8750000000000001,0.75,0.7777777777777778,0.75,0.75,0.8235294117647058,0.8235294117647058,0.7999999999999999,0.7058823529411764,0.6666666666666665,0.8750000000000001
24,0.5,0.7142857142857143,0.75,0.6153846153846153,0.5454545454545454,0.5714285714285714,0.7692307692307692,0.5454545454545454,0.6153846153846153,0.6153846153846153,0.5714285714285714
25,0.7999999999999999,0.7142857142857143,0.75,0.75,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6153846153846153,0.75,0.7777777777777778,0.7999999999999999
26,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7692307692307692,0.7692307692307692,0.8750000000000001,0.6666666666666666,0.7692307692307692,0.7142857142857143,0.7999999999999999,0.8571428571428571
27,0.75,0.75,0.7058823529411764,0.75,0.6666666666666666,0.75,0.75,0.7142857142857143,0.75,0.588235294117647,0.75
28,0.5714285714285714,0.7058823529411764,0.7368421052631579,0.75,0.7999999999999999,0.7142857142857143,0.75,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.7999999999999999
